Site,Date,UpperDepth,LowerDepth,Variable,Value,Unit,MethodID
Waynewood,1/26/1990,10,10,temp,3.8,DegreesCelsius,Method002
Lacawac,7/12/2012,1,1,temp,27.7,DegreesCelsius,Method002
Lacawac,8/2/1994,13,13,temp,6.6,DegreesCelsius,Method002
Giles,10/14/1992,18,18,temp,9.4,DegreesCelsius,Method002
Giles,6/14/2017,1,1,temp,23.2,DegreesCelsius,Method144
Waynewood,6/12/2013,10,10,temp,6.4,DegreesCelsius,Method002
Waynewood,8/7/1996,4,4,temp,18.7,DegreesCelsius,Method002
Giles,7/20/2000,10,10,temp,14,DegreesCelsius,Method002
Giles,6/6/2018,21,21,temp,5.3,DegreesCelsius,Method144
Giles,9/11/2015,10,10,temp,10.6,DegreesCelsius,Method002
Lacawac,7/23/1996,6,6,temp,10.8,DegreesCelsius,Method002
Waynewood,6/13/1996,11,11,temp,7.2,DegreesCelsius,Method002
Giles,5/9/1994,-1,-1,temp,17.9,DegreesCelsius,Method002
Giles,6/17/1991,19,19,temp,6.7,DegreesCelsius,Method002
Giles,12/13/1990,10,10,temp,4.8,DegreesCelsius,Method002
Giles,11/16/2015,16,16,temp,6.3,DegreesCelsius,Method002
Giles,8/13/2018,4,4,temp,25.4,DegreesCelsius,Method144
Giles,8/13/2018,5,5,temp,26.4,DegreesCelsius,Method144
Giles,8/25/1992,1,1,temp,21.6,DegreesCelsius,Method002
Giles,7/15/2008,12,12,temp,7.8,DegreesCelsius,Method002
Lacawac,9/20/2000,2,2,temp,19.1,DegreesCelsius,Method002
Giles,9/3/1990,16,16,temp,11.4,DegreesCelsius,Method002
Giles,7/15/2013,6,6,temp,19.5,DegreesCelsius,Method002
Waynewood,7/12/1996,0,0,temp,23,DegreesCelsius,Method002
Giles,6/17/1991,16,16,temp,7.8,DegreesCelsius,Method002
Lacawac,6/28/1988,2,2,temp,19,DegreesCelsius,Method002
Lacawac,8/16/2011,10,10,temp,6.5,DegreesCelsius,Method002
Giles,8/11/1992,2,2,temp,22.3,DegreesCelsius,Method002
Giles,7/1/1991,19,19,temp,7.1,DegreesCelsius,Method002
Giles,8/1/1989,17,17,temp,9.3,DegreesCelsius,Method002
Giles,8/18/2014,3,3,temp,21.8,DegreesCelsius,Method002
Lacawac,6/28/2016,7,7,temp,8.5,DegreesCelsius,Method002
Giles,7/5/1989,6,6,temp,19.3,DegreesCelsius,Method002
Giles,9/21/1991,14,14,temp,12.4,DegreesCelsius,Method002
Waynewood,12/18/1991,5,5,temp,3,DegreesCelsius,Method002
Giles,10/16/2009,1,1,temp,12.6,DegreesCelsius,Method002
Giles,5/11/2012,21,21,temp,5.2,DegreesCelsius,Method002
Lacawac,8/3/2018,0,0,temp,25.7,DegreesCelsius,Method144
Giles,4/23/2007,20,20,temp,4.7,DegreesCelsius,Method002
Giles,4/21/1997,2,2,temp,6.7,DegreesCelsius,Method002
Giles,7/15/2008,11,11,temp,8.5,DegreesCelsius,Method002
Giles,10/16/2009,19,19,temp,6.6,DegreesCelsius,Method002
Giles,10/16/2009,18,18,temp,6.8,DegreesCelsius,Method002
Giles,7/11/2012,4,4,temp,25.6,DegreesCelsius,Method002
Waynewood,7/12/1996,11,11,temp,7,DegreesCelsius,Method002
Giles,10/16/2009,20,20,temp,6.5,DegreesCelsius,Method002
Lacawac,5/16/2017,10,10,temp,6.1,DegreesCelsius,Method144
Giles,6/5/1997,8,8,temp,13.5,DegreesCelsius,Method002
Lacawac,6/15/2014,12,12,temp,6.2,DegreesCelsius,Method002
Lacawac,3/25/1990,7,7,temp,6.5,DegreesCelsius,Method002
Lacawac,8/3/2018,4,4,temp,18.4,DegreesCelsius,Method144
Giles,9/17/2010,10,10,temp,14.5,DegreesCelsius,Method002
Giles,8/1/1989,3,3,temp,22.7,DegreesCelsius,Method002
Giles,10/15/2010,12,12,temp,11.7,DegreesCelsius,Method002
Giles,6/6/2018,22,22,temp,5.2,DegreesCelsius,Method144
Waynewood,7/16/2015,8,8,temp,7.1,DegreesCelsius,Method002
Waynewood,8/18/1993,-1,-1,temp,22.1,DegreesCelsius,Method002
Lacawac,8/12/1992,4,4,temp,20.1,DegreesCelsius,Method002
Waynewood,10/19/1990,4,4,temp,15.1,DegreesCelsius,Method002
Giles,12/17/1991,18,18,temp,4.3,DegreesCelsius,Method002
Waynewood,12/13/1990,3,3,temp,3.3,DegreesCelsius,Method002
Giles,6/10/2009,18,18,temp,6.5,DegreesCelsius,Method002
Lacawac,6/2/2011,7,7,temp,7.1,DegreesCelsius,Method002
Waynewood,6/17/2012,3,3,temp,17.9,DegreesCelsius,Method002
Giles,6/10/2009,15,15,temp,6.9,DegreesCelsius,Method002
